request_id,prompt,ttft_ms,tpot_ms,total_ms,queue_wait_ms,connect_wait_ms,input_tokens,output_tokens,tokens_per_sec,num_requests_running,num_requests_waiting,kv_cache_usage_perc,gpu_util_pct,error
3,Write a haiku about GPU memory bandwidth.,10380.369917000002,358.91548295454555,18994.273833,21.591708000000096,783.186542,15,24,1.263538696504587,47.0,0.0,0.03920367534456359,,
3-r2,Write a haiku about GPU memory bandwidth.,10388.265083,358.5572708181819,19042.373541,24.995875,817.24675,15,24,1.260347085846508,47.0,0.0,0.03920367534456359,,
3-r3,Write a haiku about GPU memory bandwidth.,10379.251834,358.7351875,19034.487542,29.440667000000033,917.252917,15,24,1.2608692483600357,47.0,0.0,0.03920367534456359,,
s6-r2,The live chat agent disconnected. Can you reconnect me?,10396.560791999998,352.6558723404256,27711.524584,17.670292000000032,735.5473749999999,18,49,1.768217401805871,45.0,0.0,0.0609494640122511,,
s6,The live chat agent disconnected. Can you reconnect me?,10390.779708,352.56737765957456,27808.1325,28.640458000000034,887.0337079999999,18,49,1.7620744578946466,45.0,0.0,0.0609494640122511,,
1,What is PagedAttention in one sentence?,10393.141584,354.7127908431372,28718.394209,16.391542000000037,756.9675420000001,15,53,1.845507085608235,42.0,0.0,0.06003062787136293,,
1-r3,What is PagedAttention in one sentence?,10392.461790999998,354.5539101372549,28708.352125,26.89495800000008,816.798791,15,53,1.8461526377143112,42.0,0.0,0.06003062787136293,,
1-r2,What is PagedAttention in one sentence?,10384.704791,354.7337271372549,28710.783333000003,23.288458000000013,814.969875,15,53,1.8459963068678142,42.0,0.0,0.06003062787136293,,
s5-r2,Do you offer refunds for accidental purchases?,10392.699375,386.4942892608695,38222.398209000006,16.751000000000072,656.441792,15,71,1.8575495868096012,39.0,0.0,0.06799387442572746,,
s5-r3,Do you offer refunds for accidental purchases?,10397.926625,386.3756805507248,38218.200957999994,21.323625000000067,800.2584579999999,15,71,1.8577535891348118,39.0,0.0,0.06799387442572746,,
s5,Do you offer refunds for accidental purchases?,10381.363833,386.5053007246377,38184.26925,27.164000000000076,811.4959580000001,15,71,1.8594044457194896,39.0,0.0,0.06799387442572746,,
5-r3,Summarize why LLM decode is memory-bandwidth-bound in two sentences.,10391.330208,406.91469041935454,49271.565582999996,16.97908300000006,753.467333,23,95,1.928089738491637,36.0,0.0,0.0787136294027565,,
5-r2,Summarize why LLM decode is memory-bandwidth-bound in two sentences.,10381.476208,406.9154713225807,49146.039749999996,26.66175000000004,817.158916,23,95,1.9330143483229494,36.0,0.0,0.0787136294027565,,
5,Summarize why LLM decode is memory-bandwidth-bound in two sentences.,10394.021875,406.8883611182796,49272.091292,17.259042000000058,655.7615840000001,23,95,1.92806916672166,36.0,0.0,0.0787136294027565,,
s4-r2,How do I update my billing information?,10229.807041999999,448.27755989583335,75252.70208299998,15.493332999999998,654.6820829999999,14,146,1.940129669217316,30.0,0.0,0.09494640122511488,,
s4-r3,How do I update my billing information?,10387.845041999999,450.00075115277764,75470.33175,20.604333000000086,803.072125,14,146,1.9345350234266063,30.0,0.0,0.09494640122511488,,
s1,My order hasn't arrived yet. Can you check the status?,10391.293749999999,449.98486486805564,75471.805916,19.708458000000096,808.9384580000001,19,146,1.9344972367892956,30.0,0.0,0.09494640122511488,,
s4,How do I update my billing information?,10385.727791,449.9845367500001,75467.83350000001,25.487625000000016,921.4170829999999,14,146,1.934599063321461,30.0,0.0,0.09494640122511488,,
s1-r2,My order hasn't arrived yet. Can you check the status?,10389.772334,449.9468770208333,75466.28612500001,27.39262500000006,815.773917,19,146,1.9346387307064528,30.0,0.0,0.09494640122511488,,
s1-r3,My order hasn't arrived yet. Can you check the status?,10401.217541,450.2848825277774,75477.80454099999,17.92516700000002,743.970791,19,146,1.9343434919426141,30.0,0.0,0.09494640122511488,,
s12-r2,I need help cancelling my subscription.,10387.447625,452.85862235031857,81900.04391699999,23.623083000000044,815.2155000000001,14,165,2.0146509343415744,,,,,
s12,I need help cancelling my subscription.,10398.856416999999,452.81603927388545,81943.600542,19.946125000000038,770.2785420000001,14,165,2.0135800588287505,,,,,
s2-r3,I forgot my password and can't log in. What should I do?,10391.521084,462.0612844161492,85020.29824999999,18.65520800000009,790.3162920000001,21,169,1.9877606110373767,,,,,
s2-r2,I forgot my password and can't log in. What should I do?,10384.193625,462.04401397515517,85024.210042,29.124083000000024,815.4987080000001,21,169,1.9876691581905657,,,,,
s2,I forgot my password and can't log in. What should I do?,10396.080417000001,462.01619125465834,85031.795334,22.836750000000073,814.7085420000001,21,169,1.9874918474457435,,,,,
s9-r2,Where can I download my previous invoices?,10383.27975,1027.5615681448594,230937.45425,20.382917000000056,801.4297080000001,15,223,0.9656294199839609,23.0,0.0,0.1078101071975498,,
s9,Where can I download my previous invoices?,10381.749041,1027.5814813084112,230796.504333,17.4590830000001,655.357083,15,223,0.9662191402962024,23.0,0.0,0.1078101071975498,,
s11,Is there a way to export my account data?,10400.206208,956.1809837991457,234438.98225,18.991000000000092,778.9722079999999,15,243,1.0365170402457673,21.0,0.0,0.10627871362940278,,
s11-r2,Is there a way to export my account data?,10390.982582999999,956.2039241452992,234402.714667,22.21833300000009,811.3557500000001,15,243,1.0366774136776256,21.0,0.0,0.10627871362940278,,
s10-r2,The confirmation email never arrived.,10387.338333,953.1346593957453,234853.02525,21.025542000000065,784.006958,11,244,1.0389476556253132,16.0,0.0,0.08208269525267997,,
s10,The confirmation email never arrived.,10396.170875,953.2324512425537,234864.395333,18.12329200000007,766.1835000000001,11,244,1.0388973588527421,16.0,0.0,0.08208269525267997,,
s3-r2,The app keeps crashing when I try to open it.,10389.209625,951.0738072033905,234853.59591699997,29.874833000000045,919.792125,17,245,1.043203102951789,16.0,0.0,0.08208269525267997,,
s3-r3,The app keeps crashing when I try to open it.,10393.667792,951.0948001398303,234861.89354199998,19.47195800000001,793.5197079999999,17,245,1.0431662467891456,16.0,0.0,0.08208269525267997,,
s3,The app keeps crashing when I try to open it.,10392.845749999999,951.079825211864,234858.577459,24.44070800000009,924.8946669999999,17,245,1.0431809757630437,16.0,0.0,0.08208269525267997,,
s13-r2,Why is the search function returning no results?,10384.023333,1275.3325177824267,315542.726583,24.227333000000016,921.991333,14,251,0.7954548745840835,14.0,0.0,0.07166921898928025,,
s13,Why is the search function returning no results?,10384.709334,1275.3582592384935,315430.61874999997,26.435625000000073,818.005459,14,251,0.7957375888069206,14.0,0.0,0.07166921898928025,,
s15,My payment keeps failing—what can I try?,10397.068958,1266.0356824024898,315644.836125,21.79141700000009,795.5885420000001,15,253,0.8015337843189309,12.0,0.0,0.061255742725880524,,
s15-r2,My payment keeps failing—what can I try?,10392.834709,1266.0354382780088,315641.157917,26.139042000000057,817.2322919999999,15,253,0.8015431246977243,12.0,0.0,0.061255742725880524,,
2-r3,Explain the difference between TTFT and TPOT.,10385.763583,1243.7336399065034,316534.81708300003,27.628874999999997,919.466333,18,258,0.8150762130295091,9.0,0.0,0.047166921898928016,,
2-r2,Explain the difference between TTFT and TPOT.,10395.381791,1243.710461890244,316541.767666,23.921791999999996,814.010791,18,258,0.8150583156919421,9.0,0.0,0.047166921898928016,,
2,Explain the difference between TTFT and TPOT.,10380.5955,1243.7541002723576,316538.32916699996,28.020458000000083,815.968334,18,258,0.8150671695239909,9.0,0.0,0.047166921898928016,,
s7,I was double charged this month. Why?,10412.015083,1155.15428021978,326231.00316699996,0.97329200000007,738.2895000000001,14,285,0.8736140870526229,7.0,0.0,0.04104134762633993,,
s7-r2,I was double charged this month. Why?,10398.630458000001,1155.1808739304033,326138.105541,18.471417000000102,818.8674579999999,14,285,0.8738629284892673,7.0,0.0,0.04104134762633993,,
4,What is continuous batching and why does it improve GPU utilization?,10397.976583,1072.3449042093027,333754.87179199996,16.176250000000003,656.41825,19,314,0.9408102369085074,4.0,0.0,0.025727411944869827,,
4-r2,What is continuous batching and why does it improve GPU utilization?,10391.437208,1072.334855205979,333755.63308299996,25.788875000000044,818.981041,19,314,0.9408080909361399,4.0,0.0,0.025727411944869827,,
4-r3,What is continuous batching and why does it improve GPU utilization?,10402.817208,1072.328744046512,333769.377666,15.923917000000065,737.5319579999999,19,314,0.9407693485716265,4.0,0.0,0.025727411944869827,,
s14,How do I change the language settings?,10396.204958999999,840.0787047308639,351502.024667,20.821542000000083,793.9858340000001,13,418,1.1891823394075687,2.0,0.0,0.01715160796324655,,
