request_id,prompt,ttft_ms,tpot_ms,total_ms,queue_wait_ms,connect_wait_ms,input_tokens,output_tokens,tokens_per_sec,num_requests_running,num_requests_waiting,kv_cache_usage_perc,error
1,What is PagedAttention in one sentence?,30951.500292,194.1659362745097,41067.677707999996,3.5486670000000053,158.7665,15,53,1.2905526428068657,9.0,0.0,0.013361676283024648,
s5-r2,Do you offer refunds for accidental purchases?,31083.313625,197.3603894927536,44902.225917,4.760667000000024,160.60129199999997,15,71,1.581213370830228,9.0,0.0,0.014880048587913808,
5-r3,Summarize why LLM decode is memory-bandwidth-bound in two sentences.,31083.23275,198.35605062365585,49728.013791000005,4.926291999999998,157.66979100000003,23,95,1.910392005586065,9.0,0.0,0.01730944427573644,
s4-r2,How do I update my billing information?,31083.931708,198.87299565972216,59926.279082999994,3.9595420000000106,158.49779100000003,14,146,2.4363268041018347,8.0,0.0,0.02307925903431518,
s6-r2,The live chat agent disconnected. Can you reconnect me?,738.980583,196.65357889361704,10187.762041,49744.170834,9.293207999995445,18,49,4.809692236901748,8.0,0.0,0.02307925903431518,
5,Summarize why LLM decode is memory-bandwidth-bound in two sentences.,670.4594580000035,200.09517518279574,19476.657375000003,41094.505625,20.736750000004633,23,95,4.877633680712627,9.0,0.0,0.022471910112359605,
s15-r3,My payment keeps failing—what can I try?,31084.038166000002,199.2381831035856,81298.074708,4.266417000000022,160.9225,15,253,3.1120048157192577,9.0,0.0,0.036744609778317616,
s7,I was double charged this month. Why?,31084.159125,199.6163474664312,87778.599625,3.798209000000025,158.92520800000003,14,285,3.246805043798282,9.0,0.0,0.03765563316125109,
s1-r3,My order hasn't arrived yet. Can you check the status?,611.6524580000018,200.8607662083333,29736.462124999995,59958.493624999996,23.368458000000203,19,146,4.909797251141557,9.0,0.0,0.03644093531733983,
s9,Where can I download my previous invoices?,698.5880410000007,200.7579212991453,47888.500041,44917.091209,16.062415999996915,15,236,4.928114261209838,9.0,0.0,0.03492256301245067,
4,What is continuous batching and why does it improve GPU utilization?,31083.571249999997,200.8341346153846,93950.54999999999,4.448375000000004,160.22520899999998,19,314,3.3421837338897964,8.0,0.0,0.023686607956270866,
4-r3,What is continuous batching and why does it improve GPU utilization?,31084.096916,200.83676616025645,93954.282666,4.115084000000019,158.73541600000001,19,314,3.3420509538266074,8.0,0.0,0.023686607956270866,
s10,The confirmation email never arrived.,611.5202089999982,202.68699414462804,49872.67208399999,59959.35549999999,22.77329199999656,11,244,4.89245893199854,9.0,0.0,0.034011539629517196,
s14-r3,How do I change the language settings?,30955.691542,201.3261755793268,114907.267167,0.16558400000002416,161.80304200000003,13,418,3.6377159626684135,9.0,0.0,0.031278469480716664,
s2-r3,I forgot my password and can't log in. What should I do?,702.9958330000028,204.7334254011976,35091.550375,81324.334459,20.265332999997554,21,169,4.8159741645498615,9.0,0.0,0.02884907379289403,
s7-r2,I was double charged this month. Why?,704.5260830000046,202.92063148056533,58333.23987500001,60578.268959,7.088125000002776,14,285,4.885722113339071,9.0,0.0,0.025812329183115712,
s8,How do I activate two-factor authentication?,31083.660042,202.23692505411267,124725.272334,4.597834000000023,159.871875,14,464,3.7201762827782097,9.0,0.0,0.022471910112359605,
