request_id,prompt,ttft_ms,tpot_ms,total_ms,queue_wait_ms,connect_wait_ms,input_tokens,output_tokens,tokens_per_sec,num_requests_running,num_requests_waiting,kv_cache_usage_perc,error
1,What is PagedAttention in one sentence?,34277.914957999994,108.82267300000002,39475.810041,0.14333399999999497,58.181708,15,48,1.215934516610215,0.0,0.0,0.0,
s7,I was double charged this month. Why?,524.234749999998,117.1147121034483,27946.525917000003,39526.179959,185.02320799999694,14,234,8.37313377322713,0.0,0.0,0.0,
s4-r2,How do I update my billing information?,678.9918749999941,113.12990399239538,30591.489499999996,67548.765625,336.9359160000016,14,265,8.662539952492343,0.0,0.0,0.0,
4,What is continuous batching and why does it improve GPU utilization?,667.2229999999928,102.85501846666673,27006.643084000003,98199.357042,127.05929199999844,19,257,9.516177156881033,0.0,0.0,0.0,
s8,How do I activate two-factor authentication?,389.9036250000023,110.98625317444716,45687.895958,125222.89316700002,58.867374999991284,14,409,8.952042798731327,0.0,0.0,0.0,
s5-r2,Do you offer refunds for accidental purchases?,421.9856249999907,100.85131341304341,5160.277334,170949.153834,90.74312499998882,15,48,9.301825637110223,0.0,0.0,0.0,
5,Summarize why LLM decode is memory-bandwidth-bound in two sentences.,357.85695799998507,102.51851209677454,6842.923582999987,176124.64483399998,35.941832999981216,23,64,9.352727562090054,0.0,0.0,0.0,
s9,Where can I download my previous invoices?,379.3301670000062,103.50055889423061,22035.91879199999,182984.204834,85.45520799998485,15,210,9.529895348690397,0.0,0.0,0.0,
s6-r2,The live chat agent disconnected. Can you reconnect me?,388.4692500000142,106.1096833384611,7403.7270000000035,205055.68608400002,74.7317500000122,18,67,9.049496287477911,0.0,0.0,0.0,
s10,The confirmation email never arrived.,737.4556249999955,102.5040856918239,17140.69429199998,212486.327375,69.74241699998629,11,161,9.392851728015652,0.0,0.0,0.0,
s7-r2,I was double charged this month. Why?,353.58608299998195,107.08145078879325,25318.982957999993,229653.19774999996,35.508082999996304,14,234,9.242077392609621,0.0,0.0,0.0,
s11,Is there a way to export my account data?,510.2144589999966,104.84439487767588,34903.264792000016,255013.712125,171.93337500000894,15,329,9.426052318045855,0.0,0.0,0.0,
s8-r2,How do I activate two-factor authentication?,329.5362910000108,104.74826474201484,43070.87204100003,289939.232,32.483375000026626,14,409,9.495976761526089,0.0,0.0,0.0,
s1,My order hasn't arrived yet. Can you check the status?,334.54487500000596,102.55228863636393,6087.584124999978,333029.69875,41.963875000021744,19,57,9.363320297442332,0.0,0.0,0.0,
s12,I need help cancelling my subscription.,337.19837500001404,106.71307304938288,9091.323375000002,339141.91979200003,39.11845900000799,14,83,9.12958395344726,0.0,0.0,0.0,
s9-r2,Where can I download my previous invoices?,317.5646669999992,105.43064943749992,22356.837375,348249.75945899996,28.143333000002713,15,210,9.393099590858387,0.0,0.0,0.0,
s14,How do I change the language settings?,337.92700000003606,104.48387470526305,30225.593290999997,370624.743084,34.601250000037,13,287,9.49526440182259,0.0,0.0,0.0,
s10-r2,The confirmation email never arrived.,354.9868329999981,100.90593920125784,16503.586541000004,400876.128875,25.801000000001295,11,161,9.755455252106946,0.0,0.0,0.0,
3,Write a haiku about GPU memory bandwidth.,362.63762499999075,104.42191100000028,2767.7700840000057,417391.50629199995,46.461249999993015,15,24,8.6712404829938,0.0,0.0,0.0,
s15,My payment keeps failing—what can I try?,340.62099999999873,104.6192025014577,36334.474333000006,420170.432042,39.29183300004979,15,345,9.495114662678942,0.0,0.0,0.0,
s11-r2,Is there a way to export my account data?,339.2518750000022,131.32423026315794,42864.202583000006,456526.1005,44.62337499995783,15,329,7.675402321154618,0.0,0.0,0.0,
s2,I forgot my password and can't log in. What should I do?,36977.88175000005,105.25662196969691,54807.058125000025,499540.57641700003,1207.0505000000367,21,167,3.0470528014679847,0.0,0.0,0.0,
1-r2,What is PagedAttention in one sentence?,1157.619625000052,114.88835686956533,6644.62887500008,554405.964084,765.7361660000106,15,48,7.223879753554997,0.0,0.0,0.0,
s12-r2,I need help cancelling my subscription.,427.72616700005983,113.11900874073967,9708.134666999968,561120.014417,68.1438750000325,14,83,8.549531176378796,0.0,0.0,0.0,
2-r2,Explain the difference between TTFT and TPOT.,366.8290830000842,109.94201271830988,23952.833542000008,570863.961,40.87079200007793,18,215,8.975973536617664,0.0,0.0,0.0,
s13-r2,Why is the search function returning no results?,743.2342089999793,106.69740166499994,22234.492791999968,594870.1765,299.7474589999456,14,202,9.084983493425142,0.0,0.0,0.0,
s3,The app keeps crashing when I try to open it.,506.50916600000073,107.46232590909086,30200.153124999928,617150.067167,112.98370800000157,17,277,9.172138924378405,0.0,0.0,0.0,
3-r2,Write a haiku about GPU memory bandwidth.,624.1082080000524,102.54784090909135,2986.6092080000044,647382.896167,262.54616699998223,15,24,8.035868882916793,0.0,0.0,0.0,
s14-r2,How do I change the language settings?,344.0146249999998,105.0994102350877,30410.04424999994,650384.615209,25.553749999971842,13,287,9.437671239166335,0.0,0.0,0.0,
s4,How do I update my billing information?,362.8353750000315,101.56714226996183,27199.773832999996,680827.01525,68.94029199997931,14,265,9.742728069249239,0.0,0.0,0.0,
4-r2,What is continuous batching and why does it improve GPU utilization?,1081.413666000003,104.17654738823519,27757.531665999977,708054.095167,143.11604099998476,19,257,9.258748331531137,0.0,0.0,0.0,
s15-r2,My payment keeps failing—what can I try?,327.58533399999124,105.61491204956282,36665.75770899999,735833.2124999999,28.547291999984736,15,345,9.409324163927375,0.0,0.0,0.0,
s13,Why is the search function returning no results?,372.55737499992847,104.4230543750001,21366.519166999977,772514.2637919999,72.9639579999457,14,202,9.45404342285119,0.0,0.0,0.0,
5-r2,Summarize why LLM decode is memory-bandwidth-bound in two sentences.,422.7331250000361,103.47883669354844,6945.067999999992,793903.252417,77.18116700004884,23,64,9.21517255122629,0.0,0.0,0.0,
s5,Do you offer refunds for accidental purchases?,379.2949999999564,104.26068297826048,5278.301916999908,800862.671334,74.21287499994378,15,48,9.093833728117307,0.0,0.0,0.0,
s1-r2,My order hasn't arrived yet. Can you check the status?,259.6225409999988,101.1213015272729,5923.173499999962,806150.5865839999,13.703749999990578,19,57,9.62321971490458,0.0,0.0,0.0,
2,Explain the difference between TTFT and TPOT.,584.8980000000665,104.95555340375584,23052.92358300005,812083.0792919999,9.726999999998043,18,215,9.326365882657406,0.0,0.0,0.0,
s6,The live chat agent disconnected. Can you reconnect me?,301.3259580000067,105.14047435384643,7259.023749999983,835154.219,62.20866599994679,18,67,9.229891278424342,0.0,0.0,0.0,
s2-r2,I forgot my password and can't log in. What should I do?,605.609917000038,102.2717138848479,17588.05504199995,842428.0647089999,74.62391699993987,21,167,9.495080587433183,0.0,0.0,0.0,
s3-r2,The app keeps crashing when I try to open it.,267.28066699990904,104.50459363636372,29106.992333999984,860032.221625,30.27858399991601,17,277,9.516613630891547,0.0,0.0,0.0,
