request_id,prompt,ttft_ms,tpot_ms,total_ms,queue_wait_ms,connect_wait_ms,input_tokens,output_tokens,tokens_per_sec,num_requests_running,num_requests_waiting,kv_cache_usage_perc,error
s6-r2,The live chat agent disconnected. Can you reconnect me?,78289.408708,194.7655951086955,87512.53808299999,5.040083000000001,156.54991700000002,18,49,0.5599197677654676,9.0,0.0,0.011843303978135489,
1,What is PagedAttention in one sentence?,78286.963458,193.64563583999995,88168.15225,0.15820799999999302,160.99054199999998,15,53,0.6011240867305347,9.0,0.0,0.012146978439113276,
s5-r2,Do you offer refunds for accidental purchases?,78289.06341700001,200.3664074705883,92124.294667,4.482374999999983,157.65525,15,71,0.7706978952364564,9.0,0.0,0.014272699665958122,
5,Summarize why LLM decode is memory-bandwidth-bound in two sentences.,78289.333,203.32201993478265,97202.01912499999,4.660124999999987,161.86299999999997,23,95,0.9773459528431376,9.0,0.0,0.016398420892802967,
s4-r2,How do I update my billing information?,78291.571625,203.8772403846154,107724.374291,3.9452499999999837,162.85108300000005,14,146,1.3553107266662285,9.0,0.0,0.02338293349529308,
s9,Where can I download my previous invoices?,78289.036125,211.3621940300429,127928.306667,4.835915999999996,157.766875,15,236,1.8447832707917633,9.0,0.0,0.03613726085636193,
s1,My order hasn't arrived yet. Can you check the status?,685.2757500000024,217.4953877291665,32214.134040999994,97237.15675000001,27.834374999997635,19,146,4.532172114705333,9.0,0.0,0.03461888855147277,
s10,The confirmation email never arrived.,78289.098916,212.24808178008306,129822.94795800002,5.217208000000001,157.237791,11,244,1.8794828174672036,8.0,0.0,0.029760097175827505,
s7,I was double charged this month. Why?,78290.86200000001,214.870789893617,139139.194291,3.705540999999979,158.615166,14,285,2.048308540611082,9.0,0.0,0.032493167324628036,
s11,Is there a way to export my account data?,715.1426660000055,219.4030596473029,53875.10500000002,88172.808541,6.597541000004981,15,243,4.510432044633601,9.0,0.0,0.030063771636805292,
3,Write a haiku about GPU memory bandwidth.,741.2515409999969,235.66940531818202,6235.614916000003,139189.355666,82.82504100000665,15,24,3.8488585846470813,9.0,0.0,0.03218949286365014,
s12,I need help cancelling my subscription.,639.1892080000048,228.81305087116564,38291.12649999999,107814.590791,124.30287499999793,14,165,4.309092342843454,8.0,0.0,0.02884907379289403,
4,What is continuous batching and why does it improve GPU utilization?,78290.58404199999,217.96044279099672,146262.580667,4.130457999999976,159.06533400000004,19,314,2.1468238736665826,8.0,0.0,0.022775584573337393,
s7-r2,I was double charged this month. Why?,612.9963750000087,221.7341199929329,63573.48283300002,87555.149,91.57329200000675,14,285,4.483001202697375,9.0,0.0,0.022775584573337393,
1-r2,What is PagedAttention in one sentence?,624.7404169999982,222.67520260784323,12220.177417000003,146274.26837499999,4.152541999985715,15,53,4.337089241132414,9.0,0.0,0.02763437594898266,
s8,How do I activate two-factor authentication?,78289.771875,220.31736944367836,174826.81695799998,4.310040999999987,163.30637499999997,14,438,2.5053364673751632,9.0,0.0,0.032493167324628036,
s9-r2,Where can I download my previous invoices?,602.2318750000011,233.3272421666667,55677.364584,127993.453041,109.14395899999363,15,236,4.238706371310888,9.0,0.0,0.03431521409049498,
s2,I forgot my password and can't log in. What should I do?,499.9068340000008,235.45355613772432,40068.399999999994,146168.543666,28.618958999999222,21,169,4.217787583232672,9.0,0.0,0.03310051624658361,
s10-r2,The confirmation email never arrived.,691.1042080000129,235.18061398347118,57822.28991700001,129840.649208,9.089167000013276,11,244,4.21982595898996,9.0,0.0,0.029456422714849717,
s12-r2,I need help cancelling my subscription.,770.831333000018,236.5777254601227,39585.033667,151165.20891599997,23.93300000002796,14,165,4.168242002470544,9.0,0.0,0.028545399331916133,
3-r2,Write a haiku about GPU memory bandwidth.,681.7029999999988,232.10784850000073,6013.129208999999,186349.107208,102.41050000001906,15,24,3.991266305084316,9.0,0.0,0.029760097175827505,
s8-r2,How do I activate two-factor authentication?,707.9972500000054,228.1897087155965,100572.80991700002,92153.890041,18.57737500000667,14,438,4.35505381982933,8.0,0.0,0.02156088672942602,
s15,My payment keeps failing—what can I try?,685.7248749999769,236.71612533067733,60537.696332999985,142135.983125,84.79208299999641,15,253,4.179214197519538,9.0,0.0,0.02459763133920434,
s11-r2,Is there a way to export my account data?,968.9221669999881,238.98207641908735,59119.645709,145492.592625,252.85370899999293,15,243,4.110308799820958,9.0,0.0,0.021257212268448233,
