request_id,prompt,ttft_ms,tpot_ms,total_ms,queue_wait_ms,connect_wait_ms,input_tokens,output_tokens,tokens_per_sec,num_requests_running,num_requests_waiting,kv_cache_usage_perc,error
3-r4,Write a haiku about GPU memory bandwidth.,73284.69916599999,181.66127710000026,77225.92029099999,7.044959000000017,270.75070800000003,15,22,0.28487844388387185,24.0,0.0,0.020649863346492547,
s6-r3,The live chat agent disconnected. Can you reconnect me?,73285.439083,183.6453022978723,82107.463541,5.103125000000014,266.077541,18,49,0.5967788783967497,24.0,0.0,0.030671120558760978,
1-r4,What is PagedAttention in one sentence?,73283.445792,187.51876929629623,83629.009125,6.725292000000022,271.447209,15,56,0.6696241003680552,23.0,0.0,0.03188581840267235,
1,What is PagedAttention in one sentence?,73290.7345,187.52723533333327,83647.54770799998,0.5609589999999998,264.909167,15,56,0.6694756933638618,23.0,0.0,0.03188581840267235,
s5-r3,Do you offer refunds for accidental purchases?,73285.064375,188.64824759420296,86487.306417,4.950709000000026,263.81675000000007,15,71,0.8209297172196843,24.0,0.0,0.038262982083206776,
5-r3,Summarize why LLM decode is memory-bandwidth-bound in two sentences.,73287.677542,188.5250680967741,91029.622542,4.122083999999998,256.674167,23,95,1.0436163234244777,23.0,0.0,0.045551169146674786,
5-r4,Summarize why LLM decode is memory-bandwidth-bound in two sentences.,73284.30166699999,188.52538081720436,91024.969583,7.389209000000008,264.798625,23,95,1.0436696703685842,23.0,0.0,0.045551169146674786,
s6-r4,The live chat agent disconnected. Can you reconnect me?,623.0421249999978,189.61340604255327,9765.817916999993,83718.10199999998,25.22249999999815,18,49,5.01750088077134,24.0,0.0,0.04919526267840879,
s5-r4,Do you offer refunds for accidental purchases?,623.8446249999896,192.49565760869567,14148.382708999989,83716.548667,24.853208999999765,15,71,5.018241410365291,24.0,0.0,0.05921651989067722,
s4-r3,How do I update my billing information?,73286.742167,192.2340529513889,101158.245583,4.794625000000025,267.236958,14,146,1.4432832356726422,24.0,0.0,0.06468266018827817,
s12-r3,I need help cancelling my subscription.,73285.515334,192.46233793251534,104861.23670899999,6.07000000000002,271.2475,14,165,1.57350804909817,24.0,0.0,0.07075614940783481,
s2-r4,I forgot my password and can't log in. What should I do?,73282.90479200002,193.38598103592815,105764.80374999999,7.709375000000018,266.20525,21,169,1.5978850620237641,23.0,0.0,0.06529000911023386,
s2-r3,I forgot my password and can't log in. What should I do?,73286.187125,193.38612325748485,105768.95525,4.483292,256.483334,21,169,1.5978223440001313,23.0,0.0,0.06529000911023386,
s1-r4,My order hasn't arrived yet. Can you check the status?,73282.83229199999,194.4161322674419,106922.634167,7.551417000000004,270.795708,19,174,1.627344868143011,23.0,0.0,0.06103856665654417,
s1-r3,My order hasn't arrived yet. Can you check the status?,73285.919667,194.4126666627907,106923.65129200001,4.324250000000002,265.588875,19,174,1.6273293878154216,23.0,0.0,0.06103856665654417,
s4-r4,How do I update my billing information?,691.5472499999993,198.2057233819444,29430.292499999992,82148.01241699999,32.961082999989344,14,146,4.960874921647484,24.0,0.0,0.07014880048587913,
s3-r3,The app keeps crashing when I try to open it.,73286.846334,195.51240086206897,118857.39162499999,4.638500000000017,261.045292,17,234,1.9687458794172408,24.0,0.0,0.08320680230792588,
s9-r3,Where can I download my previous invoices?,73285.770791,195.46890794444442,119445.405958,5.595709000000005,266.085958,15,236,1.975798048549339,24.0,0.0,0.0789553598542363,
